Organization Name,Organization Name URL,Headquarters Location,Description,Industries,CB Rank (Company),Exit Date,Exit Date Precision,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Founded Date,Founded Date Precision,Operating Status
GrubMarket,https://www.crunchbase.com/organization/grubmarket-inc,"San Francisco, California, United States",GrubMarket is an AI-powered prominent B2B eCommerce business operating in the American food supply chain industry.,"Artificial Intelligence (AI), E-Commerce, Food and Beverage, Generative AI, Internet, Payments, SaaS, Supply Chain Management","25,414",,,8,Late Stage Venture,2022-09-28,120000000,USD,120000000,Series F,120000000,USD,120000000,499100000,USD,499100000,Series F,499100000,USD,499100000,"Notable Capital, Trinity Capital, Alumni Ventures, Castor Ventures, Gaingels",2014-01-01,year,Active
Enpal,https://www.crunchbase.com/organization/enpal,"Berlin, Berlin, Germany",Enpal is a photovoltaics leasing firm that provides solar power systems for homeowners.,"Energy, Environmental Consulting, Renewable Energy, Solar","25,425",,,15,Late Stage Venture,2024-03-20,1100000000,EUR,1203131203,Debt Financing,215000000,EUR,230754039,465000000,EUR,523166017,Series D,3275000000,EUR,3588334758,"Bank of America, TPG, UniCredit, Berenberg, Barclays",2017-02-01,month,Active
GetYourGuide,https://www.crunchbase.com/organization/getyourguide,"Berlin, Berlin, Germany",GetYourGuide is an online tourism platform that connects travelers with local guides for unique experiences worldwide.,"Consumer Reviews, E-Commerce, Hospitality, Recreation, Tourism, Travel","25,428",,,14,Late Stage Venture,2023-06-01,109000000,USD,109000000,Debt Financing,85000000,USD,85000000,741327560,USD,741327560,Series F,1080168934,USD,1080168934,"Citi, UniCredit, BNP Paribas, Deutsche Bank, Heartcore Capital",2009-01-01,year,Active
Qonto,https://www.crunchbase.com/organization/qonto,"Paris, Ile-de-France, France",Qonto is an online bank that provides financial tools for small and medium-sized businesses and freelancers.,"Banking, Financial Services, FinTech, Payments, Software","25,434",,,8,,2022-08-01,200000,USD,200000,Venture - Series Unknown,200000,USD,200000,709527559,USD,709527559,Venture - Series Unknown,709527559,USD,709527559,"TCV, Tencent, Gaingels, Eurazeo, The Family",2016-04-01,month,Active
Constellation Automotive Group,https://www.crunchbase.com/organization/constellation-automotive-group,"Farnham, Surrey, United Kingdom",Constellation Automotive Group is a vertically integrated digital used car marketplace.,"Automotive, Marketplace","25,450",2019-06-26,day,1,M&A,2021-05-21,1000000000,GBP,1415205820,Private Equity,1000000000,GBP,1415205820,1000000000,GBP,1415205820,Private Equity,1000000000,GBP,1415205820,"Neuberger Berman, Abu Dhabi Investment Authority, Soros Fund Management, GIC",2019-01-01,year,Active
Stash,https://www.crunchbase.com/organization/stash-5,"New York, New York, United States","Stash develops a personal finance application to combine banking, investing, and advice into one platform.","Apps, Banking, FinTech, Mobile Apps, Personal Finance","25,489",,,12,Late Stage Venture,2023-10-13,40000000,USD,40000000,Convertible Note,125000000,USD,125000000,426250000,USD,426250000,Series G,519972000,USD,519972000,"T. Rowe Price, Union Square Ventures, Valar Ventures, Entrée Capital, Founders Fund",2015-02-19,day,Active
Souche,https://www.crunchbase.com/organization/souche,"Hangzhou, Zhejiang, China",Souche provides new and second-hand car trading services.,"Automotive, E-Commerce, FinTech, Internet, Leasing, SaaS","25,510",,,6,Late Stage Venture,2018-05-10,578000000,USD,578000000,Series F,578000000,USD,578000000,1213400000,USD,1213400000,Series F,1213400000,USD,1213400000,"Alibaba Group, Ant Group, Warburg Pincus, Sequoia Capital China, UCAR",2012-12-01,month,Active
PhonePe,https://www.crunchbase.com/organization/phonepe,"Andheri, Maharashtra, India",PhonePe is a mobile payment application that enables users to transfer money.,"FinTech, Mobile Apps, Payments","25,525",,,18,Private Equity,2023-05-22,100000000,USD,100000000,Private Equity,100000000,USD,100000000,2593746727,USD,2593746727,Private Equity,2593746727,USD,2593746727,"Walmart, Tencent, Flipkart, General Atlantic, Tiger Global Management",2015-12-01,month,Active
Groww,https://www.crunchbase.com/organization/groww,"Bengaluru, Karnataka, India",Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,"Financial Services, FinTech, Funding Platform, Impact Investing","25,538",,,6,Late Stage Venture,2021-10-24,251000000,USD,251000000,Series E,251000000,USD,251000000,393262674,USD,393262674,Series E,393262674,USD,393262674,"Y Combinator, ICONIQ Growth, Insignia Ventures Partners, Cypher Capital, Lone Pine Capital",2016-01-01,year,Active
Ninebot,https://www.crunchbase.com/organization/ninebot,"Beijing, Beijing, China",Ninebot specializes in autopilot and personal transportation.,"Electric Vehicle, Manufacturing, Mechanical Design, Robotics, Transportation","25,624",,,4,Late Stage Venture,2017-10-20,100000000,USD,100000000,Series C,100000000,USD,100000000,247000000,USD,247000000,Series C,247000000,USD,247000000,"Sequoia Capital China, Intel Capital, GIC, SDIC Fund Management, WestSummit Capital",2012-01-01,year,Active
Blockchain.com,https://www.crunchbase.com/organization/blockchain-info,"London, England, United Kingdom","Blockchain.com is a developer of a digital assets platform that offers ways to buy, hold, and use cryptocurrency.","Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Trading Platform","25,627",,,10,Late Stage Venture,2023-11-14,110000000,USD,110000000,Series E,110000000,USD,110000000,600000000,USD,600000000,Series E,600000000,USD,600000000,"Digital Currency Group, Lightspeed Venture Partners, Google Ventures, LG Group, Lakestar",2011-01-01,year,Active
Form Energy,https://www.crunchbase.com/organization/form-energy,"Somerville, Massachusetts, United States",Form Energy develops and commercializes a low-cost battery system that can store wind and solar energy for a long duration.,"Battery, Energy, Energy Storage, Environmental Engineering, Renewable Energy","25,681",,,10,Early Stage Venture,2023-12-13,30000000,USD,30000000,Grant,,,,815000000,USD,815000000,Series B,965765461,USD,965765461,"ArcelorMittal, Breakthrough Energy Ventures, Capricorn Investment Group, The Rise Fund, Coatue",2017-01-01,year,Active
Paddle,https://www.crunchbase.com/organization/paddle,"London, England, United Kingdom",Paddle is a payments infrastructure provider for SaaS companies.,"Apps, B2B, FinTech, Internet, Payments, SaaS, Software","25,715",,,10,Late Stage Venture,2022-05-09,200000000,USD,200000000,Series D,200000000,USD,200000000,293336021,USD,293336021,Series D,293336021,USD,293336021,"Notion Capital, Silicon Valley Bank, Business Growth Fund, FTV Capital, Kindred Capital",2012-01-01,year,Active
Airbyte,https://www.crunchbase.com/organization/airbyte-b3bb,"San Francisco, California, United States",Airbyte is an open-source data integration engine that helps to sync data from applications to warehouses.,"Analytics, Data Integration, Open Source, Productivity Tools","25,725",,,4,Early Stage Venture,2021-12-17,150000000,USD,150000000,Series B,150000000,USD,150000000,181200000,USD,181200000,Series B,181200000,USD,181200000,"Thrive Capital, Y Combinator, Rebel Fund, Accel, Benchmark",2020-01-01,year,Active
Carbon Health,https://www.crunchbase.com/organization/carbon-health,"San Francisco, California, United States",Carbon Health is a tech-enabled healthcare company that delivers a virtual care experience.,"Electronic Health Record (EHR), Health Care, Medical, mHealth, Mobile Apps","25,783",,,11,Late Stage Venture,2023-03-31,,,,Series D,,,,622500000,USD,622500000,Series D,622500000,USD,622500000,"500 Global, BlackRock, DCVC, Fifth Wall, Flatiron Health",2015-01-01,year,Active
project44,https://www.crunchbase.com/organization/project44,"Chicago, Illinois, United States","As the supply chain connective tissue, project44 operates the world’s most trusted end-to-end visibility platform Movement","Enterprise Software, Freight Service, SaaS, Supply Chain Management","25,850",,,10,,2022-11-03,80000000,USD,80000000,Venture - Series Unknown,80000000,USD,80000000,942900000,USD,942900000,Venture - Series Unknown,942900000,USD,942900000,"TPG, Lineage Logistics, Emergence, Silicon Valley Bank, Goldman Sachs Asset Management",2014-01-01,year,Active
Orca Security,https://www.crunchbase.com/organization/orca-security,"Portland, Oregon, United States","Orca Security provides instant-on, workload-level security for AWS, Microsoft Azure, and Google Cloud Platform.","Cloud Computing, Cloud Security, Compliance, Cyber Security, Information Technology, SaaS, Security","25,851",,,5,Late Stage Venture,2021-10-05,340000000,USD,340000000,Series C,340000000,USD,340000000,632000000,USD,632000000,Series C,632000000,USD,632000000,"Notable Capital, ICONIQ Capital, ICONIQ Growth, Adams Street Partners, CapitalG",2019-01-01,year,Active
Getir,https://www.crunchbase.com/organization/getir,"London, England, United Kingdom",Getir is a technology company that provides on-demand delivery services.,"Delivery Service, E-Commerce, Logistics, Mobile Apps","25,860",,,7,Late Stage Venture,2022-03-17,768000000,USD,768000000,Series E,768000000,USD,768000000,1789000000,USD,1789000000,Series E,1793000000,USD,1793000000,"Silver Lake, Sequoia Capital, Mubadala, Alpha Wave Global, Tiger Global Management",2015-07-09,day,Active
Forter,https://www.crunchbase.com/organization/forter,"New York, New York, United States","Forter offers a fraud solution that helps retailers grow sales, lower costs, and improve customer experience via its Decision as Service.","E-Commerce, FinTech, Fraud Detection, SaaS, Software","25,869",,,8,Late Stage Venture,2022-07-01,,,,Secondary Market,300000000,USD,300000000,525101500,USD,525101500,Series F,525101500,USD,525101500,"Adage Capital Management, L Catterton, Scale Venture Partners, Bessemer Venture Partners, New Enterprise Associates",2013-01-01,year,Active
Knowbox,https://www.crunchbase.com/organization/knowbox-2,"Beijing, Beijing, China","Knowbox, an education mobile app start-up focused on helping students and teachers manage their homework.","Apps, Children, EdTech, Education, Mobile","25,907",,,6,Late Stage Venture,2019-05-30,150000000,USD,150000000,Series D,150000000,USD,150000000,305756292,USD,305756292,Series D,305756292,USD,305756292,"Alibaba Group, TAL Education Group, Baidu Ventures, YF Capital, BAI capital",2014-01-01,year,Active
SiEngine Technology,https://www.crunchbase.com/organization/siengine-technology,"Shanghai, Shanghai, China",SiEngine Technology creates vehicle electronic chips.,"Information Services, Semiconductor","25,927",,,4,Early Stage Venture,2024-03-28,,,,Series B,,,,1500000000,CNY,220379254,Series B,1500000000,CNY,220379254,"China State-owned Enterprise Structural Adjustment Fund, Sequoia Capital China, Neusoft Group, Guangzhou Yuexiu Industrial Investment Fund, Vision Knight Capital",2018-01-01,year,Active
Niantic,https://www.crunchbase.com/organization/nianticlabs,"San Francisco, California, United States",Niantic builds augmented reality platforms with mapping and security for current and future generations of AR hardware.,"Augmented Reality, Software, Virtual Reality","25,994",,,6,Late Stage Venture,2021-11-22,300000000,USD,300000000,Series D,300000000,USD,300000000,770000000,USD,770000000,Series D,770000000,USD,770000000,"Google, Y Combinator, Nintendo, Founders Fund, AXiomatic",2010-01-01,year,Active
Aleo,https://www.crunchbase.com/organization/aleo-673f,"Reno, Nevada, United States",Aleo develops a private application building platform that enables privacy on blockchains.,"Blockchain, Cyber Security, Information Technology, Software","26,000",,,3,Early Stage Venture,2022-02-07,200000000,USD,200000000,Series B,200000000,USD,200000000,298000000,USD,298000000,Series B,298000000,USD,298000000,"Andreessen Horowitz, Sea, Polychain, Galaxy Digital, Dekrypt Capital",2019-01-01,year,Active
IAD France,https://www.crunchbase.com/organization/iad-france,"Lieusaint, Ile-de-France, France",IAD France is a web-based network of independent real estate consultants.,Real Estate,"26,005",2016-09-22,day,2,M&A,2021-02-19,300000000,EUR,363536776,Private Equity,300000000,EUR,363536776,300000000,EUR,363536777,Private Equity,300000000,EUR,363536777,"Insight Partners, Naxicap Partners",2008-01-01,year,Active
CMC,https://www.crunchbase.com/organization/cmc-inc,"Shanghai, Shanghai, China",CMC Inc is a Chinese state-backed media group.,,"26,034",,,1,Early Stage Venture,2018-07-03,10000000000,CNY,1505729299,Series A,10000000000,CNY,1505729299,10000000000,CNY,1505729300,Series A,10000000000,CNY,1505729300,"Alibaba Group, Tencent, Vanke, CMB International Capital Corporation",2010-01-01,year,Active
Automation Anywhere,https://www.crunchbase.com/organization/automation-anywhere,"San Jose, California, United States",Automation Anywhere is a digital workforce platform that provides end-to-end automation solutions and business processes.,"Artificial Intelligence (AI), Business Process Automation (BPA), Enterprise Software, InsurTech, Machine Learning, Robotic Process Automation (RPA), SaaS, Software","26,063",,,8,,2022-10-03,200000000,USD,200000000,Debt Financing,3400000,USD,3400000,852700000,USD,852700000,Venture - Series Unknown,1052700000,USD,1052700000,"Hercules Capital, Employee Stock Option Fund, Goldman Sachs, Silicon Valley Bank, Workday Ventures",2003-01-01,year,Active
Magic Leap,https://www.crunchbase.com/organization/magic-leap,"Plantation, Florida, United States",Magic Leap is a proprietary wearable technology that enables users to interact with digital devices in a completely visually cinematic way.,"Augmented Reality, Computer Vision, Video, Wearables","26,070",,,12,,2024-01-17,590000000,USD,590000000,Debt Financing,500000000,USD,500000000,3478500000,USD,3478500000,Venture - Series Unknown,4068500000,USD,4068500000,"Fidelity, Alibaba Group, JP Morgan Chase, Google, Saudi Arabia's Public Investment Fund",2010-01-01,year,Active
